"id","name","year"
"865","The Sand pebbles","1966"
"866","The SanDpiper","1965"
"868","The Satanic Rites Of Dracula","1973"
"869","Saturday night and sunday morning","1960"
"870","Saturday Night Fever","1977"
"871","SAVING PRIVATE RYAN","1998"
"872","Sayonara","1957"
"873","Scandal","1989"
"874","Scarface","1983"
"875","scary movie","2000"
"876","Scenes from a Mall","1991"
"877","Scent of a woman","1992"
"878","Schindler’s List ","1993"
"879","School for Scoundrels","1960"
"880","School Of Rock ","2003"
"882","Scream","1996"
"883","Scream 2","1997"
"884","Scream 3","2000"
"885","Scream 4","2011"
"886","Sea Of Love ","1989"
"887","Seance on a Wet Afternoon","1964"
"888","The Searchers","1956"
"889","Secret Ceremony","1968"
"891","Sense And Sensibility","1995"
"892","Senso","1954"
"893","Serial Mom","1994"
"894","Serpico","1973"
"895","The Servant","1963"
"896","seven","1995"
"897","THE seven YEAR ITCH","1955"
"898","Sex And The City","2008"
"899","Sexy Beast","2000"
"900","Shadow Of A Doubt","1943"
"901","SHADOWLANDS","1993"
"902","Shaft","1971"
"903","Shakespeare In Love","1998"
"904","Shallow Grave","1994"
"905","Shame","2011"
"906","Shaun Of The Dead","2004"
"907","The Shawshank Redemption","1994"
"908","She Wore a Yellow Ribbon","1949"
"909","Sherlock Holmes","2009"
"910","The Shining","1980"
"911","The Shootist","1976"
"912","A Shot in the Dark","1964"
"913","Shutter Island","2010"
"914","Sid and Nancy ","1986"
"915","Sideways","2004"
"916","The Silence Of The Lambs","1991"
"917","The Sixth Sense","1999"
"919","Sleepers","1996"
"920","Sleepless In Seattle","1993"
"921","Goldeneye","1995"
"922","Sleuth","1972"
"923","Snatch","2000"
"924","THE SOCIAL NETWORK","2010"
"925","Society","1989"
"926","Some Like It Hot","1996"
"927","Sophie’s Choice","1982"
"928","The Sorcerers","1967"
"929","The Sound of Music","1965"
"930","Source Code","2011"
"931","Spartacus","1960"
"932","Species","1995"
"933","Speed","1994"
"934","The Long Good Friday","1980"
"935","Spider-Man","2002"
"936","Spider-Man 2","2004"
"937","Spider-Man 3","2007"
"938","Spy Game","2001"
"939","Spy Kids","2001"
"940","Spy Kids 2: Island Of Lost Dreams","2002"
"941","Spy Kids 3: Game Over","2003"
"942","The SPY WHO LOVED ME","1977"
"943","Stage Fright","1950"
"944","Stagecoach","1939"
"945","Stand By Me","1986"
"946","A Star Is Born","1954"
"947","Star Trek IV: The Voyage Home","1986"
"948","Star Trek V: The Final Frontier","1989"
"949","Star Trek VI: The Undiscovered Country","1991"
"950","Star Trek: Generations","1994"
"951","Star Trek: First Contact","1998"
"952","Star Trek: Insurrection","1998"
"953","Star Trek: Nemesis","2002"
"954","Star Trek","2009"
"955","Star Trek INTO DARKNESS","2013"
"956","Star Wars Episode I: The Phantom Menace","1999"
"957","Star Wars Episode II: Attack of the Clones","2002"
"958","Star Wars Episode III: Revenge Of The Sith","2005"
"959","Star Wars Episode IV: A New Hope","1977"
"960","Stardust","2007"
"961","Starship Troopers","1997"
"962","Step Brothers","2008"
"963","STEP UP","2006"
"964","The Sting","1973"
"965","Killer Klowns from Outer Space","1988"
"966","Strange Days","1995"
"967","Straw Dogs","1971"
"968","Sudden Fear","1952"
"969","Sudden Impact","1983"
"970","Indiana Jones and the Last Crusade","1989"
"971","Sunday Bloody Sunday","1971"
"972","Sunset Boulevard","1950"
"973","Superbad","2007"
"974","Superman","1978"
"975","Superman IV: The Quest for Peace","1987"
"976","Superman Returns","2006"
"977","Suspiria","1977"
"978","The Sweet Smell of Success","1957"
"979","The Taking Of Pelham One Two Three","1974"
"981","Targets","1967"
"982","Taxi Driver","1976"
"983","TED","2012"
"984","TEEN WOLF","1985"
"986","The Terminal ","2004"
"987","The Terminator","1984"
"988","Terminator 2: Judgment Day","1991"
"989","TERMINATOR 3: RISE OF THE MACHINES","2003"
"990","Terms Of Endearment","1983"
"991","Le Testament d’OrphÉe","1960"
"992","The Texas Chain Saw Massacre","1974"
"993","Texasville","1990"
"994","That Touch of Mink","1962"
"995","Theatre of Blood","1973"
"996","Thelma and Louise","1991"
"997","There’s Something About Mary","1998"
"998","Thieves Like Us","1974"
"999","The Third Man","1949"
"1002","This Boy’s Life","1993"
"1003","This Is Spinal Tap","1984"
"1004","The Thomas Crown Affair","1968"
"1005","The Thomas Crown Affair","1999"
"1006","Thor","2011"
"1007","Thor: The Dark World","2013"
"1008","Three Kings ","1999"
"1010","The Three Musketeers","1973"
"1011","The Three Musketeers","1993"
"1012","The Three Musketeers","2011"
"1013","Thunderball","1965"
"1014","THX 1138","1970"
"1015","Time After Time","1979"
"1016","Tinker Tailor Soldier Spy","2011"
"1017","The Titfield Thunderbolt","1952"
"1018","To Catch A Thief","1955"
"1019","To Kill A Mockingbird ","1962"
"1020","To Sir, With Love","1967"
"1021","Tom Brown's Schooldays","1951"
"1022","Tom JONEs","1963"
"1023","TomMY","1975"
"1024","Tomorrow Never Dies","1997"
"1025","Top Gun","1986"
"1026","The Aviator","2004"
"1027","Total Recall","1990"
"1028","The Towering Inferno","1974"
"1029","The Town","2010"
"1030","Trading Places","1983"
"1031","Traffic","2000"
"1032","Training Day","2001"
"1033","Trainspotting","1996"
"1034","Trance","2013"
"1035","Transformers","2007"
"1036","Trapeze","1956"
"1038","The Tree Of Life","2011"
"1039","TrOY","2004"
"1040","True Lies","1994"
"1041","True Romance","1993"
"1042","The Truman Show","1998"
"1044","Twelve O'Clock High ","1949"
"1048","Twilight","2008"
"1049","The Twilight Saga: New Moon","2009"
"1050","Twin Peaks: Fire walk with me","1992"
"1051","Two Lane Blacktop","1971"
"1052","Lara Croft: Tomb Raider","2001"
"1053","U.S. Marshals","1998"
"1054","Unbreakable","2000"
"1055","The Undead","1957"
"1056","UNDER SIEGE","1992"
"1057","Under the skin","2013"
"1058","The Untouchables","1987"
"1059","Urban Legend","1984"
"1060","The Usual Suspects","1995"
"1061","V For Vendetta","2005"
"1062","Valentino","1977"
"1063","Valmont","1989"
"1064","Vampire in Venice","1986"
"1065","Vanilla Sky","2001"
"1066","Vanishing Point","1971"
"1067","Vera Drake","2004"
"1068","The Verdict","1982"
"1069","Vertigo","1958"
"1070","Vicky Cristina Barcelona","2008"
"1071","A View To A Kill","1985"
"1072","The Vikings","1958"
"1073","Village of the Damned","1960"
"1074","Village of the Damned","1995"
"1075","Villain","1971"
"1076","Les Visiteurs du Soir","1942"
"1077","Volcano","1997"
"1078","WaIT UNTIL DARK","1967"
"1079","Waking Ned","1998"
"1080","A Walk In The Clouds","1995"
"1081","Wall Street","1987"
"1082","Wanted","2008"
"1083","WarGames","1983"
"1084","War Horse","2011"
"1085","The War of the Worlds","1953"
"1086","War of the Worlds","2005"
"1087","We Were Soldiers ","2002"
"1088","Went The Day Well?","1942"
"1089","The Whales Of August ","1987"
"1090","What Ever Happened to Baby Jane?","1962"
"1091","What’s eating gilbert grape ","1993"
"1092","What's Love Got to do With It","1993"
"1093","When Harry Met Sally...","1989"
"1094","Where Eagles Dare","1969"
"1095","Whistle Down The Wind","1961"
"1096","Who Framed Roger Rabbit","1988"
"1097","The Wicked Lady","1945"
"1098","The Wicked Lady","1983"
"1099","The Wicker Man","1973"
"1100","The Wild One","1954"
"1101","WILDE","1997"
"1102","Wimbledon","2004"
"1103","The Wind in the Willows","1996"
"1104","Witchfinder General","1968"
"1105","Withnail & I","1987"
"1106","Wolf","1994"
"1107","The Wolf Of Wall Street","2013"
"1108","Wolfen","1981"
"1109","the wolfman","2010"
"1110","The Wolverine","2013"
"1111","Women In Love","1969"
"1112","Wonder Boys","2000"
"1113","Working Girl","1988"
"1114","The World Is Not Enough","1999"
"1115","World war Z","2013"
"1116","The World’s End","2013"
"1117","Wuthering Heights","1992"
"1118","The X-Files","2000"
"1119","X-Men","2000"
"1120","X2","2003"
"1121","X-Men: The Last Stand","2006"
"1122","X-Men ORIGINS: WOLVERINE","2009"
"1123","X-Men: First class","2011"
"1124","Xanadu","1980"
"1125","XXX","2002"
"1126","The Year My Voice Broke","1987"
"1127","Year Of The Dragon","1987"
"1128","You Only Live Twice","1967"
"1129","Young Guns II – Blaze of Glory","1990"
"1130","Buffy the Vampire Slayer","1992"
"1131","The Young Victoria","2009"
"1132","YOU’VE GOT MAIL","1998"
"1133","Zabriskie Point","1970"
"1134","Zardoz","1973"
"1135","Zathura: a Space Adventure","2005"
"1136","The Zero Theorem","2013"
"1137","Zoolander","2001"
