"id","name","year"
"291","Carry On Constable","1960"
"292","Carry On DICK","1974"
"293","Carry On Doctor","1967"
"294","Carry On – Don’t lose your head","1967"
"295","Carry On Loving","1970"
"296","Carry On Matron","1972"
"297","Carry On Regardless","1961"
"298","Carry On Sergeant","1959"
"299","Carry On Teacher","1959"
"300","The Cars That Ate Paris","1974"
"301","Casablanca ","1942"
"303","Catch Me If You Can","2002"
"304","Catch Us If You Can","1965"
"305","Cecil B DeMented","2000"
"306","Cet Obscur Objet du Desir","1978"
"307","Changeling","2008"
"308","Un Chant d’Amour","1950"
"309","Chaplin","1992"
"310","Charade","1963"
"311","Chariots Of Fire","1981"
"312","Charley Varrick","1973"
"313","Charlie's Angels","2000"
"314","Charlie's Angels FULL THROTTLE","2003"
"315","ChaRly","1968"
"316","Le Charme Discret de la Bourgeoisie (The Discreet Charm of the Bourgeoisie)","1972"
"317","Chasing Amy","1997"
"318","Chicago","2002"
"319","Children of the Damned","1964"
"320","Child’s Play","1988"
"321","Chinatown","1974"
"322","Chitty Chitty Bang Bang","1968"
"323","A Christmas Story","1983"
"324","The Chronicles of narnia: The Lion, The Witch And The Wardrobe","2005"
"325","The Chronicles of narnia: Prince Caspian","2008"
"326","The Chronicles of narnia: The Voyage Of The Dawn Treader","2010"
"327","The Cider House Rules","1999"
"328","Cinema Paradiso","1988"
"329","Class","1983"
"330","Clerks","1994"
"331","The Client","1994"
"332","A Clockwork Orange","1971"
"333","Close Encounters of the Third Kind","1977"
"334","Closer","2004"
"335","Cloverfield","2008"
"336","Cocktail","1988"
"337","Collateral","2004"
"338","The Color of Money","1986"
"339","The Commitments","1991"
"340","The Conqueror","1955"
"341","Contact","1997"
"342","Le MÉpris (contempt)","1963"
"343","Cop Land","1997"
"344","Cowboys & Aliens","2011"
"345","Heathers","1989"
"346","Crank","2006"
"347","CraSH","2004"
"348","Crazy, Stupid, Love ","2011"
"349","Crimes of the Heart","1986"
"350","The Godfather Part 2","1974"
"351","Crouching tiger, Hidden dragon","2000"
"352","Cruel Intentions","1999"
"353","The Crying Game","1992"
"354","The Da Vinci Code","2006"
"355","Daddy day care","2003"
"356","Dad’s Army","1971"
"357","Damage","1993"
"358","The DAMNED (THESE ARE THE DAMNED)","1963"
"359","Dance With A Stranger","1985"
"360","Dances With Wolves","1990"
"361","Dangerous Liaisons","1988"
"362","Dante’s Peak","1997"
"363","Daredevil","2003"
"364","The Dark Knight","2008"
"365","The Dark Knight Rises","2012"
"366","Dark Passage","1947"
"367","Dark Shadows","2012"
"368","Darling","1965"
"369","Dawn of the  Dead","1978"
"370","A Day At The Races","1937"
"371","La Nuit Americaine (Day For Night)","1973"
"372","Day Of The Dead","1985"
"374","House on Haunted Hill","1958"
"375","The Day The Earth Caught Fire","1961"
"376","Dazed and Confused","1993"
"377","The Dead","1987"
"378","Dead Again","1991"
"379","Dead men Don’t wear Plaid","1992"
"380","Dead Poets Society","1989"
"381","Dead Ringers","1988"
"382","Death at a Funeral","2010"
"383","death in venice (Morte a Venezia)","1971"
"384","Death On The Nile","1978"
"385","Death Proof","2007"
"386","Death Race 2000","1975"
"387","Death Wish","1974"
"388","The Deer Hunter","1978"
"389","Deliverance","1972"
"390","Demolition Man","1993"
"391","The Departed","2006"
"392","Desperately Seeking Susan","1985"
"393","Devil In A Blue Dress","1995"
"394","The Devil Rides Out","1968"
"395","The Devil Wears Prada","2006"
"396","The Devil’s Advocate","1997"
"397","The Devil’s Rejects","2005"
"398","Diamonds Are Forever","1971"
"399","Diarios de Motocicleta      (The Motorcycle Diaries) ","2004"
"400","Die Another Day","2002"
"401","Die Hard","1988"
"402","Die Hard with a Vengeance","1995"
"403","Diner","1982"
"404","The Dirty Dozen","1967"
"405","Dirty mary crazy Larry ","1974"
"406","Dirty Pretty Things","2002"
"407","Dirty Rotten Scoundrels","1988"
"408","Diva","1981"
"409","Django Unchained","2013"
"410","Do The Right Thing","1989"
"411","Doctor Dolittle","1967"
"412","Dr No ","1962"
"413","Doctor Zhivago","1965"
"414","Dog Day Afternoon","1975"
"415","Dogma","1999"
"416","Donnie Brasco","1997"
"417","Donnie Darko","2001"
"418","Don't Look Now","1973"
"419","The Doors","1991"
"420","Double Indemnity","1944"
"421","Down And Out in Beverly Hills","1986"
"422","Dracula","1979"
"423","Dracula AD 1972","1972"
"424","Drag Me To Hell","2009"
"425","Dragonheart","1996"
"426","Dressed To Kill","1980"
"427","E.T. – The Extraterrestrial","1982"
"428","The Eagle Has Landed","1976"
"429","Earth Girls Are Easy","1988"
"430","Eastern promises","2007"
"431","Easy Rider ","1969"
"432","Ed Wood","1994"
"433","Edipo Re (Oedipus the King)","1967"
"434","An Education","2009"
"435","EdWARD SCISSORHANDS","1990"
"436","Eight Men Out","1988"
"438","Electra Glide In Blue","1973"
"439","The Elephant Man","1980"
"440","Elizabeth","1997"
"441","Elizabeth: the Golden Age","2007"
"442","Emma","1996"
"443","Empire of the Sun","1987"
"444","Star Wars Episode V: The Empire Strikes Back","1980"
"445","Enemy Of The State","1998"
"446","the English patient","1996"
"447","Escape From Alcatraz","1979"
"448","Escape from the Planet of the Apes","1971"
"449","Eternal sunshine of the spotless mind","2004"
"450","Everyone Says I Love You","1996"
