"id@sourceA","name@sourceA","year@sourceA","id@sourceB","name@sourceB","Confidence"
"tt0327056","Mystic River","2003","fm1421","Mystic River","100"
"tt0350258","Ray","2004","fm1661","ray","100"
"tt0247586","Nine Queens","2000","fm1448","Nine Queens","100"
"tt0054215","Psycho","1960","fm1631","Psycho","100"
"tt0387564","Saw","2004","fm1740","SAW","100"
"tt0110912","Pulp Fiction","1994","fm1637","Pulp Fiction","100"
"tt0081398","Raging Bull","1980","fm1650","Raging Bull","100"
"tt0089881","Ran","1985","fm1659","Ran","100"
"tt0047396","Rear Window","1954","fm1663","Rear Window","100"
"tt0907657","Once","2006","fm1511","once","100"
"tt0105236","Reservoir Dogs","1992","fm1681","Reservoir Dogs","100"
"tt0070511","Papillon","1973","fm1547","papillon","100"
"tt0066206","Patton","1970","fm1562","PATTON","100"
"tt0120815","Saving Private Ryan","1998","fm1739","Saving Private Ryan","100"
"tt0108052","Schindler's List","1993","fm1747","Schindler's List","100"
"tt0063442","Planet of the Apes","1968","fm1592","Planet of the Apes","100"
"tt0486655","Stardust","2007","fm1869","Stardust","100"
"tt0420223","Stranger Than Fiction","2006","fm1881","Stranger Than Fiction","100"
"tt0401792","Sin City","2005","fm1801","Sin City","100"
"tt0988045","Sherlock Holmes","2009","fm1784","Sherlock Holmes","100"
"tt1515091","Sherlock Holmes: A Game of Shadows","2011","fm1785","Sherlock Holmes: A Game of Shadows","100"
"tt0095250","The Big Blue","1988","fm1960","the big blue","100"
"tt0056869","The Birds","1963","fm1961","The Birds","100"
"tt0375063","Sideways","2004","fm1794","sideways","100"
"tt0878804","The Blind Side","2009","fm1963","The Blind Side","100"
"tt0372183","The Bourne Supremacy","2004","fm1972","The Bourne Supremacy","100"
"tt0053221","Rio Bravo","1959","fm1696","RIO BRAVO","100"
"tt0117665","Sleepers","1996","fm1815","sleepers","100"
"tt0046250","Roman Holiday","1953","fm1711","Roman Holiday","100"
"tt0043456","The Day the Earth Stood Still","1951","fm1998","The Day the Earth Stood Still","100"
"tt0106977","The Fugitive","1993","fm2025","The Fugitive","100"
"tt0119174","The Game","1997","fm2028","The Game","100"
"tt0089218","The Goonies","1985","fm2045","The Goonies","100"
"tt0829482","Superbad","2007","fm1897","Superbad","100"
"tt1119646","The Hangover","2009","fm2058","The Hangover","100"
"tt0076786","Suspiria","1977","fm1904","Suspiria","100"
"tt0365748","Shaun of the Dead","2004","fm1780","shaun of the dead","100"
"tt0096754","The Abyss","1989","fm1942","the abyss","100"
"tt0093389","The Last Emperor","1987","fm2092","the last emperor","100"
"tt0104691","The Last of the Mohicans","1992","fm2094","The Last of the Mohicans","100"
"tt0325710","The Last Samurai","2003","fm2095","The Last Samurai","100"
