"name@sourceA","name@sourceB","year@sourceA","year@sourceB","id@sourceA","id@sourceB","Confidence"
"Carlito's Way","CARLITO???S WAY","1993","1993","tt0106519","287",
"Deliverance","Deliverance","1972","1972","tt0068473","389",
"Before Sunset","Before Sunset","2004","2004","tt0381681","186",
"Shadow of a Doubt","Shadow Of A Doubt","1943","1943","tt0036342","900",
"Blue Jasmine","Blue Jasmine","2013","2013","tt2334873","236",
"Match Point","Match Point","2005","2005","tt0416320","696",
"Wonder Boys","Wonder Boys","2000","2000","tt0185014","1112",
"The Royal Tenenbaums","The Royal Tenenbaums","2001","2001","tt0265666","848",
"The Departed","The Departed","2006","2006","tt0407887","391",
"The Matrix","The Matrix","1999","1999","tt0133093","697",
"Paris, Texas","Paris, Texas","1984","1984","tt0087884","748",
"American Beauty","American Beauty","1999","1999","tt0169547","87",
"Blue Velvet","Blue Velvet","1986","1986","tt0090756","238",
"The Aviator","The Aviator","2004","2004","tt0338751","138",
"Star Trek","Star Trek","2009","2009","tt0796366","954",
"Kick-Ass","Kick-Ass","2010","2010","tt1250777","598",
"Raging Bull","Raging Bull","1980","1980","tt0081398","800",
"Contact","Contact","1997","1997","tt0118884","341",
"Being There","Being There","1979","1979","tt0078841","189",
"The Blues Brothers","The Blues Brothers","1980","1980","tt0080455","239",
"Empire of the Sun","Empire of the Sun","1987","1987","tt0092965","443",
"Star Trek Into Darkness","Star Trek INTO DARKNESS","2013","2013","tt1408101","955",
"Kill Bill: Vol. 1","Kill Bill: Vol. 1","2003","2003","tt0266697","599",
"Raiders of the Lost Ark","Raiders Of The Lost Ark","1981","1981","tt0082971","801",
"Star Wars: Episode V - The Empire Strikes Back","Star Wars Episode V: The Empire Strikes Back","1980","1980","tt0080684","444",
"Shallow Grave","Shallow Grave","1994","1994","tt0111149","904",
"Groundhog Day","GROUNDHOG DAY","1993","1993","tt0107048","549",
"American Graffiti","American Graffiti","1973","1973","tt0069704","89",
"Rushmore","Rushmore","1998","1998","tt0128445","852",
"American History X","American History X","1998","1998","tt0120586","90",
"Lincoln","LINCOLN","2012","2012","tt0443272","650",
"The Game","The Game","1997","1997","tt0119174","498",
"Kill Bill: Vol. 2","Kill Bill: Vol. 2","2004","2004","tt0378194","600",
"Awakenings","Awakenings","1990","1990","tt0099077","140",
"American Hustle","American Hustle","2013","2013","tt1800241","91",
"Gandhi","Gandhi","1982","1982","tt0083987","499",
